,Site,Longitude,Latitude,Depth,DistCoast,DistStream,Population,Effluent,UrbanIndex,PointIndex,AgrIndex,FormPlIndex,FragIndex,DitchIndex,Label
126,HAW-194,-155.2914663,20.02240791,11.0,102.904737025,136.680461151999,3507.0,631760.0,0.062285714285714,0.0,0.0,0.0,0.0,0.0,2
127,HAW-323,-155.3492215,20.04969385,12.0,102.676521437,195.346688997,3752.0,601200.0,0.10965,0.0,0.0,0.0,0.0,0.0,2
128,HAW-198,-155.3638895,20.05500748,4.5,76.9534459241999,400.321859731,5224.0,707500.0,0.097783333333333,0.0,0.041916666666667,0.0,0.0,0.0,2
129,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
130,HAW-272,-155.0273058,19.74435185,21.0,850.692293413,5060.06106627,45281.0,4576200.0,0.0,0.0,0.0,0.0,0.0,0.0,2
131,HAW-302,-155.0688391,19.74751619,10.0,436.169230957,2315.38295088,80702.0,7177840.0,0.34985,0.0,0.0,0.0,0.0,0.0,2
132,HAW-177,-154.971091,19.65415243,22.0,839.271640397,4398.15613612,23406.0,3020140.0,0.0,0.0,0.0,0.0,0.0,0.0,1
133,HAW-136,-154.9769788,19.66447676,12.0,526.831816112999,4727.8803987,24724.0,3250540.0,0.0,0.0,0.0,0.0,0.0,0.0,2
134,HAW-203,-155.0356113,19.74035217,13.0,211.0786643,4081.67672082999,62453.0,5971500.0,0.0,0.0,0.0,0.0,0.0,0.0,2
135,HAW-358,-155.0729444,19.75570179,24.0,1387.86024774,1968.76430568,69756.0,6863600.0,0.30345,0.0,0.27215,0.07525,0.0422,0.0,2
136,HAW-335,-155.7955527,19.00717646,3.5,18.9503507746,12074.9763895,3209.0,312500.0,0.0,0.0,0.0,0.0,0.0,0.0,1
137,HAW-246,-155.8204122,19.01212153,13.0,167.838764316,14623.9830213,2689.0,255600.0,0.0099,0.0,0.0,0.0,0.0,0.0,1
138,HAW-447,-155.8815182,19.03992992,6.0,21.8284550750999,19799.8454802,604.0,29000.0,0.0,0.0,0.0,0.0,0.0,0.0,2
139,HAW-290,-155.7417628,18.96924701,23.0,105.107788197999,5980.87140062999,241.0,40200.0,0.0,0.0,0.0,0.0,0.0,0.0,1
140,HAW-181,-155.7862736,18.99763014,14.5,50.6340578199,10906.2330012,1362.0,188900.0,0.0,0.0,0.0,0.0,0.0,0.0,1
141,HAW-503,-155.838986,19.01857392,4.0,60.7336154771,16118.7117428,2108.0,198700.0,0.0099,0.0,0.0,0.0,0.0,0.0,2
142,HAW-531,-155.8746872,19.03261788,25.0,91.2002052767,19258.5576775,726.0,42500.0,0.0,0.0,0.0,0.0,0.0,0.0,2
143,HAW-361,-155.8932205,20.12523802,24.5,148.638970505999,848.907331195999,2075.0,342000.0,0.077166666666667,0.0,0.0,0.0,0.0,0.0,1
144,HAW-346,-155.8678176,20.08223919,6.0,31.1653201106,178.245309182,3178.0,386600.0,0.069571428571429,0.0,0.0,0.0,0.0,0.0,1
145,HAW-094,-155.8322626,19.97885806,4.0,93.9730885684,834.103793505,16909.0,648000.0,0.2851,0.0994,0.0,0.0,0.1516,0.0,1
146,HAW-090,-155.8927204,19.9299064,15.0,320.492189973999,3995.54728936999,5324.0,258100.0,0.3211,0.0,0.0,0.0,0.0,0.0,1
147,HAW-153,-155.8444195,20.05506028,8.0,80.9708132492,638.094378705,5629.0,537400.0,0.137716666666667,0.0,0.0,0.0,0.041883333333333,0.0,1
148,HAW-215,-155.825602,20.01060066,2.0,13.7589676661,342.262230949,17147.0,849800.0,0.342875,0.0632,0.0,0.0,0.14645,0.0,1
149,HAW-111,-155.8781193,19.93578823,4.0,71.0253046775,2900.63079388,12574.0,456800.0,0.3211,0.0,0.0,0.0,0.0,0.0,1
150,HAW-297,-155.9174,19.1370999,13.5,199.951023835999,17471.4143842999,1556.0,223400.0,0.0,0.0,0.0,0.0,0.0,0.0,1
151,HAW-428,-155.901572,19.21418038,11.5,113.546716323,10523.0217607,2833.0,285600.0,0.0,0.0,0.0,0.0,0.0,0.0,1
152,HAW-265,-155.900432,19.24453033,23.5,94.3135089068999,9225.56861489999,3692.0,417300.0,0.0,0.0,0.0,0.0,0.0,0.0,2
153,HAW-138,-155.9163557,19.10705287,24.5,78.4631316711,20130.3784017,813.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,2
154,HAW-173,-155.9098846,19.17447103,11.0,71.1687657575999,13869.5022126,1744.0,235400.0,0.0,0.0,0.0,0.0,0.0,0.0,1
155,HAW-430,-155.8998144,19.2123574,4.5,67.3676842737999,10464.4244339,2554.0,285000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
156,HAW-248,-155.8994194,19.25695055,4.5,15.8511217245,8951.23493416,4164.0,425700.0,0.0,0.0,0.0,0.0,0.0,0.0,2
157,HAW-233,-154.9554415,19.3660173,14.0,141.717080562,14036.3218528,3414.0,416800.0,0.0,0.0,0.0,0.0,0.0,0.0,2
158,HAW-219,-154.8527585,19.44592735,23.5,74.2284203176999,12042.3998678,8019.0,1375800.0,0.0,0.0,0.0,0.0,0.0,0.0,2
159,HAW-453,-154.895444,19.41163539,11.0,96.3490747351,11551.7749093999,9075.0,1195200.0,0.0,0.0,0.0,0.0,0.0,0.0,2
160,HAW-292,-154.9172909,19.39825846,12.5,87.4126346814999,11862.5386129,7148.0,954500.0,0.0,0.0,0.0,0.0,0.0,0.0,2
161,MAI-247,-155.974224,20.72091138,28.0,1011.47833042,1360.47812881999,9257.0,448100.0,0.1445,0.0,0.1708,0.0,0.0148,0.195,2
162,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
163,MAI-233,-156.0077445,20.6837016,13.5,161.947386988999,258.647848033999,14800.0,383300.0,0.0927,0.0,0.06938,0.0,0.0,0.25224,2
164,MAI-232,-155.9843535,20.71870417,5.5,78.1510247661999,769.579232738999,17115.0,451700.0,0.161225,0.0,0.1738,0.0,0.0111,0.14625,2
165,MAI-262,-155.9960137,20.70219342,5.25,73.1813218431999,248.847773485,20697.0,469900.0,0.1073,0.0,0.0851,0.0,0.0,0.3153,2
166,MAI-138,-155.9979163,20.69431418,14.5,67.7328439494999,417.738558727999,15409.0,433600.0,0.0969,0.0,0.08148,0.0,0.0,0.25224,2
167,MAI-182,-156.1592698,20.86563164,22.5,334.976842744,724.492071055,4427.0,208000.0,0.1142375,0.0,0.118425,0.0,0.0678125,0.0,2
168,MAI-178,-156.1787089,20.88027349,15.0,192.764667242999,244.172618172,7060.0,254400.0,0.03803,0.0,0.04248,0.0,0.04408,0.12341,2
169,MAI-255,-156.2922054,20.94429052,14.5,196.857446298,306.423300832999,34708.0,2415200.0,0.1165375,0.0,0.1227625,0.0,0.0,0.0,2
170,MAI-200,-156.2939629,20.94686503,24.0,485.624426095999,536.707739764,30437.0,2290300.0,0.125257142857143,0.0,0.1403,0.0,0.0,0.0,2
171,MAI-235,-156.2112697,20.90330738,5.25,42.7257912285,97.1208898672,23759.0,1059300.0,0.0735375,0.0,0.0453625,0.0,0.0,0.0,2
172,MAI-092,-156.2319431,20.9291399,5.0,77.4065304335999,151.742441544999,26128.0,1874200.0,0.125016666666667,0.0,0.15275,0.0,0.0,0.0,2
173,MAI-093,-156.2361633,20.93279919,15.0,99.9704294075999,402.791991279,25726.0,1948500.0,0.1312625,0.0,0.1432875,0.0,0.0,0.0,2
174,MAI-103,-156.5015992,20.9508523,23.5,797.566244419999,849.927029068,88470.0,892400.0,0.1771,0.0,0.17375,0.0,0.058716666666667,0.1036,1
175,MAI-257,-156.5395724,20.99273055,15.0,76.2545729936999,807.152638089999,50570.0,418000.0,0.092233333333333,0.0,0.0759,0.0,0.059533333333333,0.0,2
176,MAI-185,-156.5737248,21.01818153,6.0,41.9883158199,422.995527643,43410.0,294400.0,0.104311111111111,0.0,0.115611111111111,0.0,0.042122222222222,0.0,2
177,MAI-184,-156.6710213,21.00306887,17.0,280.967409879999,1014.76282099,53771.0,499900.0,0.462475,0.054925,0.342975,0.0,0.195275,0.27875,2
178,MAI-246,-156.5252046,20.97080265,13.5,151.566743521,146.723596700999,75613.0,627300.0,0.0862,0.0,0.064,0.0,0.0,0.07895,2
179,MAI-116,-156.5995799,21.03183305,6.0,107.38735303,1495.72938651,28947.0,384800.0,0.149175,0.017525,0.199475,0.0,0.048125,0.0,2
