Region,Island,Site,Reef Zone,Latitude,Longitude,Depth,Hard coral,Macroalgae,CCA,Turf algae,Sand,Complexity,Herbivore (Grazer),Herbivore (Scraper),Herbivore (Browser),Detritivore (exclusively),Corallivore,Planktivore,Small Invert. Feeder,Large Invert. Feeder,Small Predator,Large Predator,DistCoast,DistStream,Population,Effluent,UrbanIndex,PointIndex,AgrIndex,FormPlIndex,FragIndex,DitchIndex
NWHI,Pearl & Hermes,PHR-338,Lagoon,27.79435446,-175.8251005,3.25,3.0,40.0,0.0,42.0,15.0,1.75,0.555909118,1.673895959,14.98827377,0.0,0.0,1.047111451,0.24755358100000002,9.852991927000001,0.0063748,28.63631066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Pearl & Hermes,PHR-322,Backreef,27.79144585,-175.8742823,3.0,10.0,10.0,7.5,67.0,5.5,1.75,2.003405354,2.016599232,13.99969375,0.0,0.075713427,0.08965922400000001,0.288119484,7.770561389000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-192,Forereef,28.38306614,-178.300265,11.0,15.0,32.5,0.25,37.0,15.0,2.5,0.9035396249999998,0.0,2.453809987,0.0,0.11273115,1.042854633,0.47496436900000005,8.413427625,0.293191001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-174,Lagoon,28.42997471,-178.291558,1.5,10.0,5.0,4.25,59.5,21.25,1.75,1.059497132,0.03619472,0.100987202,0.0,0.0,0.000491596,0.253394566,7.997823971999999,0.055070206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-181,Backreef,28.38819461,-178.313905,1.0,5.25,11.25,0.0,61.0,22.5,1.25,0.043925322,0.0,16.04459806,0.0,0.0,0.88731049,0.17615315,0.9130509720000001,0.08017813100000001,3.334157298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-194,Forereef,28.38047706,-178.3296686,26.0,16.5,33.75,5.0,36.75,7.75,2.5,3.359995141,5.424777473,0.168436107,0.05084668,0.620923596,8.099005024000002,0.48843195500000003,7.745857388,33.490361767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-168,Forereef,28.38486146,-178.3357237,11.0,27.5,13.75,0.0,54.0,4.25,3.0,3.3650559099999997,3.885786433,10.680617372,0.021512655,0.339270293,10.775544318000001,0.5544184529999999,9.774823175999998,0.3305082,186.32837628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-191,Forereef,28.38883541,-178.3588074,13.5,30.0,6.25,0.5,52.25,10.5,3.25,2.904760537,9.263844716000001,28.249957999000003,0.06946795,0.9235672540000001,6.3615256890000005,0.798607659,6.9716456340000015,0.195548601,88.757577246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-171,Forereef,28.3847701,-178.3613476,28.0,0.5,82.5,0.0,7.0,10.0,2.0,1.050303166,0.307725874,0.0,0.0,0.0,10.931130793,1.06747312,10.059322110999998,0.0,264.2929944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-200,Lagoon,28.4116683,-178.3404009,7.5,1.75,32.0,0.0,40.0,26.25,3.25,1.0894654,15.578583267000003,4.236487416999999,0.009106775,0.29069255,0.397678466,0.626373292,5.105434705,0.40194385600000004,3.841282804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-196,Backreef,28.45132618,-178.3268989,2.5,21.25,8.75,0.0,48.75,21.25,2.25,2.9766276229999997,20.384446682,6.503162756,0.022636219,0.5819718070000001,0.13430629100000002,1.3915332899999997,13.703959489999999,0.290723921,25.60370954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWHI,Kure,KUR-159,Forereef,28.39618198,-178.3634197,5.5,2.0,2.5,0.25,89.75,5.5,2.5,4.127119995,10.00931634,16.634227169000003,0.0,0.0,0.300482639,1.530987173,13.293368905000001,0.17023018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
